branch,cgpa,backlogs,coding_skills,dsa_score,aptitude_score,communication_skills,ml_knowledge,system_design,internships,projects_count,certifications,hackathons,open_source_contributions,extracurriculars,placement_status,salary_package_lpa
CSE,6.98,1,7.6,3.1,67.2,5.3,2.6,3.9,0,3,1,3,1,1,1,12.55
CSE,7.99,0,7.2,5.8,68.9,4.6,4.6,5.7,2,5,2,0,0,1,1,20.41
ECE,8.2,0,3.8,5.2,79.7,2.7,4.9,3.8,2,2,3,0,0,1,1,16.49
CSE,6.64,0,7.8,9.3,69.8,2.4,5.5,3.5,3,1,1,2,1,2,0,
EE,6.81,0,4.6,2,66.4,3.5,5.5,4.8,1,1,1,1,1,0,1,13.41
ME,7.57,0,6.5,8.7,79.4,5.9,5.2,1.3,1,4,3,1,1,2,1,18.71
CE,6.28,0,5,3.7,74.5,5.3,2.4,4.6,1,5,1,1,0,2,0,
CSE,8.27,2,5.6,6.6,49.9,8.1,4.7,1.3,0,1,2,0,0,1,1,18.17
ECE,7.37,0,6.4,5.7,61.8,8.9,1.5,3.8,2,2,1,0,1,2,1,17.71
EE,7.39,0,6.3,5.6,86.5,6.1,3.2,0.5,2,1,1,0,2,2,1,18.54
Chemical,6.7,0,7.4,6,76.5,5.3,5.8,5.1,3,2,1,0,0,0,1,21.67
CSE,7.02,1,7.7,5.6,60.6,5.6,4.7,6.7,2,2,1,0,0,1,0,
IT,8.51,0,5.5,4.9,61.6,9.6,6.9,7.1,1,2,3,0,1,3,1,18.72
CE,6.34,0,8.2,7,76.3,6.2,4.7,0,1,3,1,2,0,2,1,16.07
CE,6.87,0,6.8,4.4,82.9,6.8,2.5,3.9,1,2,4,0,0,1,1,14.64
ME,7.15,0,5.8,5.2,62.9,3.8,3.3,3.1,1,2,1,2,2,2,1,16.25
CSE,7.84,0,8.3,7.2,73.3,8,7.1,2,1,1,2,0,1,3,1,18.5
CSE,8.83,0,5.5,2.5,79.5,5.5,7.2,0.6,0,4,0,3,0,3,1,16.43
CE,8.16,0,8.7,5.8,67.9,5.7,3.2,1.7,0,4,0,1,1,1,1,15.42
ECE,8.93,1,5.7,8.6,74.7,7.1,5.9,3.1,1,0,3,2,0,1,1,19.5
Chemical,4.92,0,2.5,1.8,54,6.5,2.4,2.6,2,2,1,0,1,2,0,
ME,6.48,0,6.8,5.6,76.2,8.9,4,3.3,1,4,2,2,0,0,1,18.42
CSE,7.56,0,5.7,6.4,70.9,4.3,0.6,0,0,3,1,0,1,2,0,
EE,6.46,0,6.3,3,62.6,5.2,5,6.2,2,2,3,0,1,2,1,14.5
ECE,6.8,2,3.4,7.4,59.8,3.8,7.1,2.1,0,3,3,0,1,1,1,16.23
CE,6.97,0,6.7,5.1,82.1,4,6.4,1.3,1,3,3,0,0,0,1,17.55
EE,7.18,2,6.6,6,75.1,7.2,3.6,4.8,0,0,3,0,0,1,1,15.55
Chemical,7.44,0,6.8,5.8,67.6,4.2,3.4,1,2,3,1,0,0,2,1,16.18
IT,5.89,0,5.8,4.6,55.1,7,3.8,4.8,0,5,1,2,0,3,1,13
EE,6.83,0,5.1,6.9,64.9,2.9,5.2,2.9,2,2,1,0,0,0,0,
EE,7.07,2,6.5,5.2,75.7,7.5,6,4.8,0,5,2,0,2,2,1,18.3
Chemical,7.28,0,8.6,3.8,72.2,3.7,5.9,4.5,0,4,1,0,2,0,1,16.6
ECE,7.4,0,4.9,2.6,43.9,6.4,3.9,2.7,1,3,3,0,0,1,0,
CSE,6.94,1,4.1,8.6,70,5.8,3.6,4.3,3,1,2,0,0,2,1,21.18
ECE,6.74,1,4.5,7.1,61.7,7.8,5.9,2.2,1,4,3,2,0,1,0,
CSE,6.7,0,5.5,3.2,67.4,5.7,5.1,3.5,3,3,2,2,0,0,1,19.83
EE,7.62,0,5.3,5.7,75,5.8,5.1,3,1,2,1,1,0,0,0,
EE,6.61,1,7.5,8,81.9,6.2,2.8,5.8,1,4,2,0,1,0,1,20.37
CE,8.39,0,6.1,4.6,67.1,4.6,5.5,3.5,2,1,4,0,2,0,1,17.29
CSE,8.29,0,6.5,4.8,61.1,5.4,3.5,4.3,1,1,3,1,0,0,0,
EE,6.2,0,4.6,5.2,84.8,4.7,3.9,3.3,0,2,0,1,0,1,1,12.01
ECE,6.39,0,2.9,3.8,45.5,6.3,5.5,7.5,3,2,2,0,1,0,0,
EE,7.16,3,5.3,6.2,62.6,4.8,4.5,4.9,1,1,1,1,2,1,0,
CE,6.95,0,4.9,6,50.7,5.6,5,7.1,0,2,2,0,0,0,0,
ECE,6.24,2,5.2,5.3,54.5,6.4,3,3.2,1,2,1,0,0,1,1,14.24
CSE,6.65,0,7,7,79.9,4.9,4.5,4.3,3,3,2,1,0,0,0,
CSE,5.97,2,4.7,7.2,76.4,4.7,4.1,0,0,1,0,0,2,1,0,
IT,6.34,0,7.2,6.1,43.4,6.2,5.3,6.1,0,3,1,2,0,3,1,17.87
Chemical,5.76,0,6.2,5.7,62.4,3.9,3.2,4.7,1,4,3,0,0,1,0,
EE,6.35,2,6.4,7.1,50.4,8,5.1,4.3,0,3,2,0,2,0,0,
CSE,5.27,0,5.6,7.1,49,7.7,4.3,2.1,1,2,0,3,0,2,0,
ME,7.38,1,7,8,80.2,8.9,7.6,4.9,0,4,2,1,0,1,1,17.03
EE,8.25,3,8.9,2.1,71.6,5.2,3,5.5,0,1,1,1,0,2,1,14.49
IT,6.4,0,5.3,8.2,62.7,6.2,5.3,5.4,0,3,3,0,0,2,1,17.09
CSE,6.58,0,6.4,3.9,68.5,5.4,9.1,6.7,1,4,1,0,0,0,1,19.89
CSE,8.88,0,4.4,3.7,49.1,4.4,6.5,3.7,1,1,3,1,0,1,1,15.89
EE,8.53,0,5.6,3.4,64.1,7.3,4.9,4,0,2,3,2,1,0,1,17.13
ECE,6.83,0,5.1,4.1,53.4,6.3,3.3,4.3,1,4,1,0,0,1,1,14.06
ECE,8.2,1,5,1,68.6,6.8,6.4,2.4,0,2,1,2,1,1,0,
CSE,7.24,0,8.2,6.9,77.1,7.8,3.2,4.3,1,3,0,0,0,2,1,18.44
CE,7.84,0,3.3,8,72.5,8.1,2.2,4.6,1,4,2,1,0,1,1,15.66
IT,6.92,0,8.2,6.9,72.1,6.8,7.6,3.2,2,3,3,0,0,0,1,20.64
Chemical,5.16,1,5.5,3,67.3,5.6,7.7,7.4,2,1,2,1,1,3,1,21.13
CE,8.43,1,3,6.6,78.2,6,2.3,7.2,0,2,4,2,1,1,1,15.97
ME,8.24,1,4.1,6.5,45.7,8,7.4,5.1,1,2,1,3,0,0,1,20.96
CSE,7.92,0,5.4,5.9,55.4,6.5,2.9,6.6,1,0,1,1,0,1,1,21.53
CE,6.03,1,3.8,9.8,86.7,6.5,4.9,2.8,0,4,1,1,1,1,1,17.95
ECE,7.15,1,4.7,4.8,66.4,6.9,8.5,5.8,1,4,1,2,1,1,1,17.23
CE,7.34,0,2.2,5.3,65.3,7,4.6,3.9,1,2,0,0,1,2,1,13.27
ECE,7.38,2,6.8,6.4,42.4,8.9,2.8,2.6,0,0,3,2,0,0,1,16.06
CSE,7.73,0,5.7,6.3,62.4,4.3,5.5,4.1,0,4,1,0,0,1,1,20.11
CSE,6.13,1,7,6.6,80.6,4.6,4,3.2,3,5,1,0,0,1,1,18.17
ECE,7.52,0,7,6.4,68.6,4.8,6.3,5.3,1,3,4,1,1,2,1,18.38
CSE,7.56,0,4.5,3.6,96.1,4.9,6,5,0,3,2,1,0,0,1,14.77
CSE,6.98,1,5.5,7,64.5,6.8,2.2,0.7,3,3,1,0,0,1,1,18.45
Chemical,5.72,0,8.8,2.3,66.7,7.5,6.4,8.2,2,0,2,1,0,0,1,17.5
ME,7.09,0,7.2,5.9,59,4.4,7.3,5,1,5,0,2,0,1,1,19.2
CE,9.12,1,5.8,1.5,42.5,2.6,5.6,4.5,2,2,2,0,2,1,0,
IT,8.86,0,4.8,5.7,73.4,6.9,3.8,5,3,3,1,2,2,2,1,21.43
Chemical,6.28,0,5.6,5.9,67.8,3.8,5.4,6,0,1,2,0,0,2,0,
CE,6.93,0,6.1,6.2,43.4,7.5,4.4,1.7,0,3,4,1,1,2,1,15.61
IT,8.28,0,6,8,59.3,4.4,4.4,3.6,1,2,0,2,0,0,1,15.62
ECE,7.52,1,4.5,4.7,72.7,8.6,3.7,4.1,1,3,1,0,2,1,1,15.18
ECE,6.73,0,4.7,4.4,99.4,7.1,1.9,4.9,2,3,0,0,0,0,1,16.26
ME,7.38,0,6.4,5,45.7,7.3,2.2,5.9,0,2,2,0,0,1,1,15.66
EE,6.54,2,8.8,2.7,59.3,4.8,5.3,3.7,0,3,1,0,0,1,1,15.78
EE,6.98,0,8.2,4.6,78.4,4.7,6.7,3.5,3,3,1,2,0,0,0,
ECE,8.45,2,5.7,3.9,67.9,5.3,2.7,3.4,0,3,1,0,2,1,1,13.98
CSE,6.8,0,6.5,6.3,56.9,3.6,2.5,0.6,0,2,3,0,0,0,1,13.18
EE,8.87,0,7.2,8,58.1,5.8,5.3,2.9,2,3,2,0,0,0,1,23.45
CSE,8.24,1,7.8,6.1,66.6,5.1,3,5.2,2,2,0,0,1,2,1,19.71
CE,7.51,0,6.8,3.2,65.8,6.1,4.5,2.8,0,2,0,2,2,1,1,12.78
EE,5.15,0,7.2,4.4,74.9,6.4,0,5.5,1,1,2,2,2,2,0,
EE,7,2,4.7,6.2,68.7,6.2,4.5,3.7,0,2,0,1,0,2,0,
IT,7.26,2,7.6,5.7,76.3,6.5,3.5,2.4,1,2,3,0,2,1,1,18.21
IT,8.5,0,5.6,4.6,71.2,5.5,4.6,3.8,1,3,1,3,1,3,1,20.05
ME,7.54,0,7.3,6.8,49.5,5.5,5.3,2.5,2,2,2,0,1,2,1,21.97
EE,7.22,3,7.5,5.4,62.3,8,7.4,4.3,1,5,4,0,0,0,1,20.9
CE,8,2,4.5,6.2,67.1,3.6,6,4.7,0,3,2,0,0,0,1,15.43
CSE,6.04,0,5.3,7.9,68.6,1.5,5.5,3.4,2,1,3,1,1,0,0,
CSE,5.21,1,4.8,5,61.3,7,3.3,1.5,1,4,4,1,0,2,0,
ECE,6.38,1,6.4,6.1,71.2,5.3,5.9,7.2,1,4,1,1,0,2,1,17.8
ME,6.87,2,6.8,4.4,65.5,7.7,2.1,3.9,1,5,4,1,0,0,1,14.52
CE,9.17,0,6.1,8.3,67.9,6,5.2,3.8,1,4,3,0,1,3,0,
IT,6.78,0,7.4,8.8,71.1,6,4.6,5,0,4,1,0,0,0,1,15.86
CSE,7.92,3,8.6,5.7,69.5,4.9,1.1,5.8,1,2,0,2,0,1,0,
CSE,6.84,1,6.1,7.3,70,7.5,3.8,5.4,1,3,2,3,0,3,0,
Chemical,5.99,0,5.1,7.1,66.2,6.8,5,4.7,0,3,2,1,2,1,1,14.28
CSE,8.25,0,2,5,69.4,4.6,3.2,3.3,0,2,1,1,0,2,0,
ME,6.91,0,5.7,2.9,77.2,5.3,3.7,5.4,0,3,2,1,2,3,1,13.12
CE,7.76,0,4,4.7,47.6,4.8,4.3,0,1,3,1,1,1,2,1,15.91
CE,7.99,1,4.3,3.4,70.4,6.6,7,2.5,1,1,2,1,0,1,1,17.54
CSE,9.5,0,8.6,3.4,51,6.6,4.8,3,1,1,0,1,1,0,1,17.97
CSE,7.89,1,7.8,4.2,68.7,4.9,7.3,0.2,1,1,2,1,0,1,0,
CSE,8.03,0,7,4.9,55.5,6.2,5.2,5.6,0,2,2,3,0,1,1,15.17
CE,6.29,1,3.7,5.9,63.7,8.6,2.7,2.1,1,1,4,2,0,0,1,12.68
CE,6.71,0,4.1,5.4,52.7,5.6,2.3,4.6,1,0,2,1,0,0,0,
CSE,7.23,3,5.8,1.2,70.3,5.6,3.7,5.9,1,2,1,0,1,0,0,
EE,5.84,0,4.6,4.5,62.1,1.9,3,4.2,0,2,3,1,0,2,0,
IT,6.75,1,6.5,7.6,68,6.8,4.9,2.7,1,5,1,0,0,3,1,22.13
CSE,7.13,1,7.4,2.9,70.2,7.3,5.3,3.8,1,2,1,1,1,1,0,
ME,7.43,0,3.5,3.2,71.9,2.3,3.2,4.9,1,3,1,1,0,1,0,
EE,7.12,0,6,4.8,63.7,3.4,2,4.3,0,2,1,0,0,1,1,13.05
ECE,8.4,0,6.7,6.3,61.3,5.5,3.7,6.4,0,0,3,1,0,1,1,19.21
ECE,6.38,0,4.4,5.1,65.7,8.1,2,7.6,2,2,1,0,0,3,0,
CE,7.54,0,6.7,5.9,77.6,5.6,1.4,1.9,2,4,1,0,0,2,0,
IT,8.51,1,5.1,7.3,80.4,6,7.2,4.1,1,3,2,0,0,0,1,17.92
IT,7.39,0,4.9,4.7,80,6.5,3.9,3.8,0,3,0,3,2,0,1,14.01
CE,6.82,0,3.1,6.4,51.6,6.3,0.2,3.1,1,4,1,0,0,1,0,
EE,5.87,0,5.6,5.1,69.1,8,5.7,4.8,1,2,3,1,0,1,1,15.5
ECE,6.27,0,7.4,6.6,66.6,2.6,5.3,7.1,1,2,3,0,0,0,0,
EE,7.58,0,3.7,6,57.8,5.5,1.4,3.4,1,2,1,0,0,1,0,
ME,7.1,0,6.9,6.4,86.9,5.4,1.5,3.5,2,2,3,0,0,0,1,17.68
CSE,6.67,0,3.5,5.3,71.1,4.5,6.2,3.4,2,2,0,2,0,0,0,
EE,8,0,7.2,7.7,28.8,5,4.1,2.1,1,2,0,2,1,3,1,17.19
CE,7.07,0,7.8,9.5,88.2,6.8,0.7,6.5,0,2,2,1,0,2,1,17.5
ECE,8.4,0,6.3,3.3,75.6,5.1,4.8,2,1,4,2,1,0,2,1,17.18
Chemical,7.82,0,5,4.9,90,6.4,3.1,2.5,0,2,4,0,0,0,1,16.29
CSE,6.75,0,6.4,7.6,65.8,6.3,2.3,2.7,1,4,1,3,0,3,0,
ECE,7.83,0,7.3,6.2,49.5,5,2.9,5,0,1,1,2,0,0,1,15.68
CSE,6.77,0,7.3,5.3,67.3,7,4.3,4.3,1,3,4,0,2,2,1,17.36
IT,7.79,0,4.4,8.5,52.3,8.2,1.5,2.2,2,1,1,0,0,1,1,18.34
EE,7.34,0,5.9,6.7,52.3,7.8,3.1,4.3,0,3,2,3,0,1,1,18.13
ECE,8.05,0,7.3,5.5,52.6,6.1,8.3,0.8,0,2,2,3,0,0,0,
EE,7.62,0,8.8,7.1,76.4,9.3,7.1,3.5,1,4,1,1,0,1,1,19.47
ECE,7.34,0,8,5.2,72.3,7.5,2.9,6.3,1,5,1,1,0,0,0,
IT,7.42,0,7.3,3.9,81.6,5.7,3.7,5.5,1,2,3,0,2,2,1,17.67
ME,7.91,1,2.1,5.3,40.9,2.8,4,4.4,0,1,4,2,1,1,1,13.81
ME,6.85,1,3.8,7,56.4,7.3,7.9,1.1,1,2,1,2,1,2,1,17.23
Chemical,6.79,0,7.2,7.2,54,6.3,3.5,5.8,1,3,4,1,0,3,1,18.62
ECE,6.88,0,4.5,5.8,93.3,5.8,4.7,3.5,1,2,2,0,0,1,1,15.35
CSE,6.38,0,9.2,4.4,51.8,5.9,4.9,5.9,3,4,3,1,2,0,1,19.8
CE,6.4,0,7.3,5.4,96.1,8.4,8.9,4.6,1,1,0,1,0,2,1,17.77
Chemical,6.74,0,8.2,6,47.8,6.9,8.1,0,1,3,1,0,0,1,0,
ECE,7.21,0,8,4.9,57.6,5.7,8.6,2.8,0,0,1,0,2,0,1,18.33
CSE,7.8,1,4.3,7.4,65.4,5.4,2,0.8,0,3,0,1,1,1,0,
ECE,5.88,0,5.8,5.1,67.6,6.5,3.6,3.7,1,2,1,1,1,1,0,
ME,5.76,3,5.3,5.1,56.8,6.7,2.1,3.3,0,3,3,2,0,2,0,
CSE,7.75,0,6.3,4.8,58.7,7.6,4.8,4.5,1,2,3,0,1,1,0,
EE,6.71,0,4.9,5.4,79.6,5.4,5.5,4.1,1,3,2,0,0,1,1,15.12
Chemical,4.45,1,5.2,3.1,49.5,7,2.3,5.9,0,2,2,1,1,2,1,12.73
ME,6.29,0,5,6.4,73.5,4.6,6.5,4.3,2,3,3,0,1,2,1,18.59
ECE,6.46,0,7.9,4.3,32,4.9,5.5,9,1,4,1,1,0,2,0,
ME,6.16,0,2.6,6.4,59,7.1,4.8,5,2,4,3,0,1,0,0,
CSE,7.09,0,4.8,3.9,60.7,6.1,5.4,1.8,2,2,1,1,2,1,1,17.04
IT,6.34,1,5.6,6.3,70.3,4.8,1.1,4.8,1,3,1,2,0,2,1,15.83
ME,8.44,0,6.4,7.7,55.1,7.4,7.2,4.3,2,1,1,1,0,0,1,22.03
ECE,8.2,0,7.9,7.7,72.4,5.2,4,3.6,1,4,3,1,0,2,1,17.8
EE,7.38,0,4.1,7.6,85,7.8,2.4,2.8,0,4,0,1,0,2,1,15.19
ME,5.72,0,5.5,6.7,60.8,6.1,4.5,2,2,3,0,0,2,1,0,
EE,7.39,1,6,2.2,61.2,3.4,4.8,4.4,1,4,0,0,1,0,0,
CSE,5.04,0,6.6,8.6,86.2,6,4.9,4.4,2,1,1,1,0,1,0,
IT,6.15,0,9.2,8.6,63.1,4.8,3.4,6.9,1,2,1,3,0,3,0,
Chemical,7.76,0,4.7,1.2,56.5,4.4,4.4,4.1,0,3,2,0,1,1,0,
EE,7.46,1,5.2,8.3,64.1,3,3.6,6.2,2,2,1,2,1,1,1,19.05
Chemical,8.3,0,3.6,5.5,80.1,8.9,3.6,3,1,1,3,1,0,3,0,
CSE,7.55,0,5.2,3.3,68.6,4.9,6,4.5,2,2,0,1,1,3,1,16.3
ME,6.67,1,6.6,5.9,69.3,6.7,8.3,3.8,0,1,3,1,1,0,1,16.07
CE,8.3,0,7.3,6.4,81.1,4.6,6.2,5.2,0,2,1,0,2,0,0,
CE,8.33,0,5,6.9,81.4,6.6,6.1,3.7,1,2,4,0,0,0,1,19.21
ME,8.25,2,5.5,3.1,65.1,6.4,5.3,3.2,1,2,3,0,1,3,0,
ECE,7.54,0,6.2,6.3,66.9,2.4,4.1,4.1,0,3,4,0,0,2,1,13.17
CSE,5.8,3,6.5,6.5,44.2,4.6,1,4,1,3,1,2,1,1,0,
ECE,6.89,0,8.3,6.8,73.9,3.2,6.1,6,3,4,1,0,1,0,1,23.64
CSE,7.09,0,5.9,5.9,54.5,8.4,2.2,6.3,1,2,3,1,1,0,1,13.96
EE,8.18,1,6.1,7.6,72,5.1,5.1,6,2,2,0,0,0,1,0,
CSE,6.78,0,6.7,6.2,72.5,5.3,1.1,4.6,0,2,2,0,0,1,1,15.33
CSE,5.93,0,4.5,4.8,75.3,4.5,3.1,2.5,3,2,1,1,1,0,1,16.57
CE,6.8,0,6.2,4.2,64,4.5,5.2,2,2,4,1,2,0,0,1,15.63
CE,7.52,0,6.4,2.8,70.7,7.1,4.2,2,1,1,0,0,0,0,1,13.59
IT,6.79,1,5.3,6.1,53.9,8.1,4.1,3.1,1,2,1,0,0,2,1,15.5
CE,7.18,0,6,3.3,53.7,4.2,5.9,1.6,2,3,2,0,1,1,1,13.78
ECE,7.7,0,5.3,5.2,76.1,5,3,3.5,1,3,2,1,0,1,1,14.1
IT,7.54,0,6.1,2.5,54.6,6.7,7.3,5.2,3,1,2,2,2,1,0,
CE,6.57,3,7.3,7.1,57.3,5.6,5.3,4.1,0,3,2,1,0,2,0,
CSE,7.05,3,6.2,6.2,65,5.6,4,4.1,0,4,3,1,2,0,0,
CE,6.38,0,7.9,4.7,65.7,4.6,4.9,4.1,0,2,0,0,0,3,0,
Chemical,6.98,0,4.5,5.1,82.8,4.4,7.3,4.6,1,4,1,0,0,0,1,16.85
ECE,7.91,1,8.2,5.4,56.4,4.9,5.3,6.1,0,2,1,0,1,1,1,17.33
ECE,8.31,0,7.9,6.7,86.5,6.4,7.9,0.8,3,3,4,3,0,2,1,22.53
CSE,6.68,0,5.5,4.1,62.4,6.4,8.7,5.5,3,1,2,3,0,0,1,19.25
CSE,6.21,0,7.7,5.4,90.3,6.1,5.8,3.9,1,2,4,0,1,2,1,15.46
ME,7.2,1,8.3,6.1,69.4,6.3,2.1,2.8,1,2,3,2,1,2,1,19.48
CE,5.89,2,1.9,7.4,50.2,5.1,4.7,4.7,0,1,3,0,2,2,0,
CSE,8.78,0,6.5,3.3,58.4,6.6,6.2,4.3,0,3,2,0,0,3,1,14.13
Chemical,7.38,0,6.7,7.2,66.2,8,6.1,1.4,1,5,0,0,1,1,1,17.99
IT,6.63,2,8.5,7.9,58.1,3.9,5.3,5.1,2,3,3,0,2,0,1,19.69
CE,6.96,0,4,4.7,57.3,5.4,3.9,3.2,1,3,2,2,1,1,1,13.86
IT,7.34,0,7,5.9,68.9,4.2,2.8,4.2,2,4,0,1,0,3,1,16.33
CSE,6.7,0,2.5,5.4,59.6,7.4,3.5,4.3,0,2,3,0,0,0,1,13.53
ME,7.28,0,6.2,5.8,53.7,5,5.2,2.1,2,1,2,2,1,0,1,20.02
EE,7.49,1,1.7,3.3,87.6,7,6.1,4.3,2,2,1,0,0,3,1,16.14
IT,7.9,0,7.2,6.2,76.1,2.8,6.9,6.3,1,2,1,0,2,2,1,20.55
IT,7.11,0,6.6,7.1,73.8,6.4,6.9,2.5,0,2,2,0,0,1,1,17.79
ECE,5.97,2,8.9,5.3,61.5,3.2,5.5,4.4,2,5,3,2,0,3,1,17.62
Chemical,6.17,0,5.5,6,91.2,3.9,6.9,3.3,0,3,4,0,0,3,1,14.26
CSE,6.3,2,8.6,4.3,66.4,5.5,6.6,3.9,0,3,2,2,1,1,1,15.54
IT,8.2,0,6.3,4.5,82.7,5,4.6,3,0,1,0,1,0,1,1,12.28
Chemical,7.2,1,7.5,7.2,60.9,5.4,0.6,3.7,2,2,1,0,0,1,1,16.63
CSE,7.18,0,3.9,3.1,25.7,5.9,2.3,3.3,1,2,0,0,0,1,1,14.89
EE,6.36,3,5.1,4.4,66.1,3.8,3.3,1.1,0,4,2,0,2,0,0,
CSE,7.7,3,7,8.4,79.5,8.8,7.3,6.1,2,0,2,0,1,1,1,26.58
ME,8.37,0,6.5,4,82,4.4,8.6,3.3,2,2,1,3,2,2,1,18.21
ME,7.71,0,5.1,5.8,57.9,4.8,4.4,5.2,1,2,1,0,0,2,1,17.45
CE,7.67,1,6.9,6.1,69.5,5.4,4.1,4.2,1,2,0,0,0,1,1,18.93
Chemical,7.81,0,6.3,5.6,61,4.2,1.3,2.6,0,3,3,0,0,1,1,17.95
EE,6.28,1,6,5,75.3,4.8,5.2,5,1,1,1,0,0,1,1,18.49
ME,6.88,2,2.2,4.9,70,5.2,7.7,1.5,1,2,1,0,0,1,1,15.01
IT,8.13,0,4.4,9,93.7,8.4,6,2.9,0,2,4,0,2,0,1,18.11
Chemical,6.68,0,5,3,79.8,4.4,2.9,6.3,0,2,2,0,0,1,0,
CSE,7.31,1,6.4,2.6,74.9,4.8,4.4,5,2,2,2,0,1,1,1,17.71
Chemical,5.76,0,7.5,4.7,43.6,6.1,2.3,4.9,0,3,1,3,2,2,0,
CSE,6.46,0,6.4,5.8,68.9,5.8,7.2,6,1,2,4,1,2,1,1,18.07
IT,7.02,0,7.9,7.8,73.4,6.1,1.4,3.2,0,0,0,0,0,0,0,
ECE,8.73,0,10,4.2,45.8,5.4,2.4,5.7,1,1,3,1,0,1,1,16.92
CSE,6.81,0,7.1,2.5,76.5,7.1,5.1,5.2,0,1,2,0,0,1,1,13.01
ME,7.48,0,4.8,6,75.9,4.6,5.3,4.3,1,3,3,1,0,2,1,17.59
EE,7.04,1,5.2,8.9,68.9,3.9,5.3,3.4,1,3,1,1,2,1,1,18.92
ECE,8.07,0,5.4,4.7,54.8,4.6,3.9,2.8,1,1,2,3,0,1,1,16.89
CSE,6.59,2,5.1,5.3,85.3,6.5,7.4,4.9,3,4,1,0,0,1,0,
CE,6.95,1,5.6,6.5,63.8,5.8,5.1,0,1,3,0,2,0,0,1,16.89
Chemical,6.58,0,2.4,4.3,55.9,8.2,4.9,3.2,1,4,1,1,1,0,0,
ECE,6.64,0,6.2,6.1,57.7,8.3,5.7,3.5,2,2,1,1,1,3,1,19.48
CSE,8.7,1,5.7,5,50.7,7.5,6.4,6.1,1,1,1,0,0,2,1,19.24
ME,6.14,1,1,5.2,71.5,6.3,6.6,0.9,3,2,4,0,0,1,1,14.85
CSE,7.94,0,6.5,6.7,68.3,5.4,5.1,0.5,0,3,0,1,0,3,1,13.54
IT,5.6,2,5.4,6.6,55.5,6.5,8.7,6.4,0,2,3,0,0,2,0,
IT,5.92,0,3.5,3.9,78.6,3.6,3.3,4.5,1,3,1,1,0,1,0,
CE,6.22,0,7.5,2.4,69.4,2.2,2.5,2.8,1,1,2,2,0,1,0,
ECE,5.19,1,5.9,4.6,74.6,5.8,7.5,1.7,1,2,3,0,0,1,1,16.71
IT,6.87,3,7.7,6.2,58.7,5.3,7,3.8,1,1,3,0,0,2,1,18.16
CE,8.69,1,4.9,7.7,67.7,3.2,5.9,2,1,2,1,0,0,0,1,19.22
IT,7.22,0,5.7,6.3,68.7,3.9,5.2,3.8,3,2,1,1,1,3,1,19.95
EE,6.32,0,9.1,2.9,63.5,7.5,5,3.3,1,2,2,3,0,2,1,14.74
IT,7.26,2,7.6,7.9,74.7,6,4.5,3.8,1,3,1,1,0,2,1,18.79
CE,5.43,0,2.4,4.1,75.5,4.8,3.1,3.4,1,3,1,0,2,1,0,
ME,7.44,1,7.3,3.6,75.8,6.3,4.8,2.9,0,2,1,1,1,0,1,14.97
Chemical,6.41,0,3.7,5.4,57.4,7.4,4,1.3,0,1,2,2,0,0,1,12.28
CE,6.4,0,5.3,3.3,52.9,5,5.9,4,1,3,1,1,1,1,1,15.71
CE,6.9,0,6.2,4.9,50.5,7.3,7.5,6.3,1,4,2,0,0,2,0,
CSE,8.37,0,7.1,5.8,40.4,6.1,9.1,6.7,1,1,3,1,2,0,1,24.18
EE,7.33,0,6.8,5.5,68,6.5,1,5.1,1,4,3,0,1,0,1,17.96
CE,7.53,1,4.8,3.8,73.4,3.8,7.7,5.2,1,0,3,0,1,1,0,
CSE,5.52,0,6.4,4.1,59.3,4.9,5.8,4.6,3,2,0,0,0,1,0,
CSE,7.31,0,4.4,4.3,53.2,7.4,4.3,3.4,0,4,2,0,0,1,0,
CE,7.71,0,6.8,2.6,65.8,7.2,2.2,3.9,2,1,2,1,0,0,0,
IT,7.53,2,8.7,4.5,52.1,6.7,2.2,1.2,1,3,1,0,0,1,1,18.53
CE,7.8,1,5.3,3.8,71,7.1,8,0,1,0,2,0,0,2,0,
CSE,8.29,1,8.8,6,77.7,5.3,2.3,3.1,0,4,1,0,1,2,1,15.73
EE,6.96,0,5.5,4.9,67.5,6,5.5,3.6,0,3,3,0,1,1,1,13.79
CSE,6.24,0,6.2,7.8,60.1,8,5.3,2.8,3,4,2,1,2,1,1,20.23
ME,8.56,2,4.1,7.3,42.8,6.7,3.3,4.2,2,4,2,0,0,1,1,20.78
CSE,8.92,0,7.1,4.9,65.5,7.7,3.1,5.5,2,0,1,1,1,1,1,18.76
CSE,6.37,1,4.1,9.3,27,5.1,3.6,3.7,3,2,0,2,1,1,1,16.17
CSE,7.26,2,5.3,3.4,56.8,7.3,0,3.7,2,1,1,0,0,3,0,
ECE,6.08,0,8.4,8.1,59.1,5.7,1.6,3.2,0,4,2,0,1,2,0,
CSE,7.87,0,6.6,7,68.8,6.1,10,2.9,0,2,1,1,0,2,1,19.59
ECE,6.04,3,6.4,7.4,65.1,3.4,2.9,4.7,1,3,1,0,1,2,1,16.09
ME,6.73,0,5.8,8.2,64.2,5.9,6,5.8,2,3,0,0,0,0,1,23.14
ME,7.02,1,4.5,6.1,48.3,7.1,4.7,5.1,2,1,0,1,0,0,1,16.3
ECE,6.09,1,6.9,5.1,52.9,5.7,5.9,1,0,4,0,0,0,1,0,
